data,inadimplencia_pf_total,selic_am,ipca_am,ano,mes,inadimplencia_ma12,selic_ma12,ipca_ma12,inadimplencia_diff,selic_diff,ipca_diff
2011-03-01,4.62,0.92,0.79,2011,3,,,,,,
2011-04-01,4.67,0.84,0.77,2011,4,,,,0.04999999999999982,-0.08000000000000007,-0.020000000000000018
2011-05-01,4.82,0.99,0.47,2011,5,,,,0.15000000000000036,0.15000000000000002,-0.30000000000000004
2011-06-01,4.79,0.96,0.15,2011,6,,,,-0.03000000000000025,-0.030000000000000027,-0.31999999999999995
2011-07-01,4.9,0.97,0.16,2011,7,,,,0.11000000000000032,0.010000000000000009,0.010000000000000009
2011-08-01,4.97,1.07,0.37,2011,8,,,,0.0699999999999994,0.10000000000000009,0.21
2011-09-01,5.03,0.94,0.53,2011,9,,,,0.0600000000000005,-0.13000000000000012,0.16000000000000003
2011-10-01,5.17,0.88,0.43,2011,10,,,,0.13999999999999968,-0.05999999999999994,-0.10000000000000003
2011-11-01,5.22,0.86,0.52,2011,11,,,,0.04999999999999982,-0.020000000000000018,0.09000000000000002
2011-12-01,5.22,0.91,0.5,2011,12,,,,0.0,0.050000000000000044,-0.020000000000000018
2012-01-01,5.36,0.89,0.56,2012,1,,,,0.14000000000000057,-0.020000000000000018,0.06000000000000005
2012-02-01,5.4,0.75,0.45,2012,2,5.014166666666667,0.915,0.47500000000000003,0.040000000000000036,-0.14,-0.11000000000000004
2012-03-01,5.36,0.82,0.21,2012,3,5.075833333333334,0.9066666666666667,0.4266666666666667,-0.040000000000000036,0.06999999999999995,-0.24000000000000002
2012-04-01,5.41,0.71,0.64,2012,4,5.1375,0.8958333333333334,0.4158333333333333,0.04999999999999982,-0.10999999999999999,0.43000000000000005
2012-05-01,5.51,0.74,0.36,2012,5,5.195,0.875,0.4066666666666667,0.09999999999999964,0.030000000000000027,-0.28
2012-06-01,5.43,0.64,0.08,2012,6,5.248333333333334,0.8483333333333333,0.4008333333333334,-0.08000000000000007,-0.09999999999999998,-0.27999999999999997
2012-07-01,5.42,0.68,0.43,2012,7,5.291666666666667,0.8241666666666667,0.42333333333333334,-0.009999999999999787,0.040000000000000036,0.35
2012-08-01,5.4,0.69,0.41,2012,8,5.3275,0.7925,0.4266666666666667,-0.019999999999999574,0.009999999999999898,-0.020000000000000018
2012-09-01,5.41,0.54,0.57,2012,9,5.359166666666667,0.7591666666666668,0.43,0.009999999999999787,-0.1499999999999999,0.15999999999999998
2012-10-01,5.34,0.61,0.59,2012,10,5.373333333333334,0.7366666666666667,0.44333333333333336,-0.07000000000000028,0.06999999999999995,0.020000000000000018
2012-11-01,5.21,0.55,0.6,2012,11,5.3725,0.7108333333333334,0.45,-0.1299999999999999,-0.05999999999999994,0.010000000000000009
