nome,uf,tipo,total,branca,preta,amarela,parda,indigena,branca_pct_total,preta_pct_total,amarela_pct_total,parda_pct_total,indigena_pct_total
Brasil,,Brasil,203080756,88252121,20656458,850130,92083286,1694836,43.45666361415358,10.171548701542159,0.41861672013866247,45.34318653018999,0.83456258159685
Norte,,Região,17354884,3598298,1530418,29467,11654390,753780,20.73363325274891,8.818370667300341,0.16979082084328537,67.15337307930149,4.343330672795047
Rondônia,RO,UF,1581196,486123,136793,4257,936708,21146,30.744006435634795,8.651236152886801,0.2692265854454476,59.2404736667687,1.3373421131852092
Acre,AC,UF,830018,177992,71086,1878,549889,31694,21.44435421882417,8.564392579438037,0.22626015339426375,66.25024999457844,3.818471406644193
Amazonas,AM,UF,3941613,725007,193667,5963,2711618,490935,18.393662695957214,4.913394592518342,0.15128324368729248,68.79462798605546,12.45518015086717
Roraima,RR,UF,636707,131260,49195,784,364494,97668,20.615447921885576,7.7264738725976,0.12313356064877566,57.2467398662179,15.339551787556912
Pará,PA,UF,8120131,1570281,793621,12432,5673446,80980,19.338123978541724,9.773499959544987,0.15310097829702501,69.86889743527537,0.9972745513588389
Amapá,AP,UF,733759,157022,86662,748,478975,11334,21.399669373731705,11.81068988591622,0.10194082798302985,65.27688246413332,1.5446488560958027
Tocantins,TO,UF,1511460,350613,199394,3405,939260,20023,23.19697511015839,13.192145342913475,0.2252788694374975,62.14256414327869,1.3247456102047026
Nordeste,,Região,54658515,14571557,7127018,68749,32559846,529128,26.659262513809605,13.039172396103332,0.1257791215147356,59.56957667071635,0.9680614264767348
Maranhão,MA,UF,6776699,1361865,854424,6541,4499018,57166,20.096288768322157,12.608262518373623,0.0965219201856243,66.38952091571427,0.8435670523362481
Piauí,PI,UF,3271199,740322,400662,3078,2120880,7202,22.631518290388325,12.248169554955233,0.09409393925591197,64.83494278397615,0.220163921546809
Ceará,CE,UF,8794957,2456214,595694,11256,5690973,56372,27.927527104453155,6.7731314661345134,0.1279824335696013,64.70722938156491,0.6409582218537282
Rio Grande do Norte,RN,UF,3302729,1304317,302749,5237,1680960,11724,39.49209880677464,9.166631594660052,0.1585658405518588,50.89609229216203,0.3549791702558702
Paraíba,PB,UF,3974687,1419778,316572,4912,2207880,30140,35.720498243006304,7.964702629414592,0.12358205815954815,55.54852495303404,0.758298703772146
Pernambuco,PE,UF,9058931,3043916,909557,13225,5006802,106646,33.601271496603744,10.040445169523865,0.14598852778545285,55.26923651366812,1.1772470725298603
Alagoas,AL,UF,3127683,915400,298709,5505,1887865,25725,29.267671947572694,9.550488332737045,0.1760088858109981,60.35985744079563,0.8224938396889967
Sergipe,SE,UF,2210004,556908,283960,2978,1361504,4710,25.199411403780264,12.848845522451544,0.1347508873287107,61.606404332299846,0.21312178620491187
Bahia,BA,UF,14141626,2772837,3164691,16017,8103964,229443,19.60762503548036,22.3785510944781,0.1132613746113778,57.30574404951736,1.6224654788636044
Sudeste,,Região,84840113,42318768,9003372,570852,32833389,123434,49.88061248810454,10.612164083279804,0.6728562466671868,38.700312669314805,0.14549014096669108
Minas Gerais,MG,UF,20539989,8437697,2432877,31681,9605151,36699,41.07936474552153,11.844587648026492,0.15424058893118198,46.76317499488437,0.17867098176148002
Espírito Santo,ES,UF,3833712,1479275,429680,4268,1908803,14410,38.58597098582261,11.20793632907219,0.11132813315136869,49.78994248915933,0.37587591347498195
Rio de Janeiro,RJ,UF,16055174,6739901,2594253,21837,6682740,16994,41.97961977864581,16.158361161330298,0.13601222883040695,41.623591248528356,0.10584749813362347
São Paulo,SP,UF,44411238,25661895,3546562,513066,14636695,55331,57.782435607852236,7.985730998987238,1.1552616479639681,32.95718754789047,0.12458783517811416
Sul,,Região,29937706,21729713,1505526,120838,6499382,88341,72.58309303992763,5.028862264864249,0.4036314606069015,21.709686106210007,0.2950827294516153
Paraná,PR,UF,11444380,7389932,485781,100244,3440037,30466,64.57258497183771,4.244712251777728,0.8759233789860176,30.058744990991208,0.2662092660327602
Santa Catarina,SC,UF,7610361,5805552,309908,12436,1462988,21773,76.28484378073523,4.072185274785257,0.16340880544300065,19.223634726394714,0.28609680933663983
Rio Grande do Sul,RS,UF,10882965,8534229,709837,8158,1596357,36102,78.41823436903455,6.522459642202286,0.07496118934499928,14.668401488013608,0.33172945056792885
Centro-Oeste,,Região,16289538,6033785,1490124,60224,8536279,200153,37.04086021346953,9.14773641830726,0.3697096872851765,52.40344446846804,1.2287211583287383
Mato Grosso do Sul,MS,UF,2757013,1168407,179101,19616,1293797,116469,42.37945196486197,6.496197152498011,0.7114946501884467,46.927490004581045,4.224463214355536
Mato Grosso,MT,UF,3658649,1181590,360698,10813,2048782,58356,32.29580099102155,9.858775739350783,0.2955462521821579,55.998320691599545,1.5950149905060582
Goiás,GO,UF,7056495,2557454,648560,16985,3822864,19517,36.242553845783206,9.190965202979665,0.24070023432313067,54.175111014745994,0.276582070843953
Distrito Federal,DF,UF,2817381,1126334,301765,12810,1370836,5811,39.97805053700582,10.710833926969764,0.45467758886710746,48.65639400563857,0.20625538398959886
